profile,layer,channel,tau
bio,3,60,3.9034154415130615
bio,3,61,3.378709316253662
bio,3,62,6.296322822570801
bio,3,63,2.9428625106811523
bio,3,64,5.1686882972717285
bio,3,65,6.1965556144714355
bio,3,66,6.704834938049316
bio,3,67,5.572936058044434
bio,3,68,2.6522011756896973
bio,3,69,4.02577543258667
bio,3,70,3.9680559635162354
bio,3,71,4.454679489135742
bio,3,72,3.655064582824707
bio,3,73,3.2135114669799805
bio,3,74,3.716787576675415
bio,3,75,1.2805291414260864
bio,3,76,2.7662131786346436
bio,3,77,3.3391313552856445
bio,3,78,4.982430934906006
bio,3,79,2.1635546684265137
bio,3,80,3.861102342605591
bio,3,81,2.846463203430176
bio,3,82,2.9599006175994873
bio,3,83,1.5833925008773804
bio,3,84,1.4998174905776978
bio,3,85,3.8000295162200928
bio,3,86,3.8775291442871094
bio,3,87,3.082124948501587
bio,3,88,5.338948726654053
bio,3,89,2.4039974212646484
bio,3,90,2.929267644882202
bio,3,91,4.20227575302124
bio,3,92,3.6535449028015137
bio,3,93,6.405223369598389
bio,3,94,8.729708671569824
bio,3,95,8.253219604492188
bio,3,96,5.631813049316406
bio,3,97,8.04798698425293
bio,3,98,3.7923130989074707
bio,3,99,3.4087729454040527
bio,3,100,3.951169490814209
bio,3,101,4.566007614135742
bio,3,102,2.757890462875366
bio,3,103,3.0782954692840576
bio,3,104,3.37764048576355
bio,3,105,3.927363395690918
bio,3,106,4.981734752655029
bio,3,107,3.2140114307403564
bio,3,108,7.918022155761719
bio,3,109,2.253293514251709
bio,3,110,4.318948268890381
bio,3,111,3.5696043968200684
bio,3,112,6.151208877563477
bio,3,113,3.074679374694824
bio,3,114,3.5701680183410645
bio,3,115,2.2256877422332764
bio,3,116,2.9840376377105713
bio,3,117,3.602808952331543
bio,3,118,3.340298652648926
bio,3,119,2.704026699066162
bio,3,120,2.9188544750213623
bio,3,121,3.779571294784546
bio,3,122,4.740952014923096
bio,3,123,6.209224700927734
bio,3,124,1.657155990600586
bio,3,125,3.0981945991516113
bio,3,126,5.35385274887085
bio,3,127,8.395227432250977
bio,3,128,3.711045026779175
bio,4,1,3.500613212585449
bio,4,2,4.084012031555176
bio,4,3,3.996986150741577
bio,4,4,3.5213587284088135
bio,4,5,4.397494316101074
bio,4,6,5.414405822753906
bio,4,7,4.411719799041748
bio,4,8,3.34169864654541
bio,4,9,4.021071910858154
bio,4,10,3.6095378398895264
bio,4,11,4.731740474700928
bio,4,12,4.258991241455078
bio,4,13,4.4537553787231445
bio,4,14,4.12133264541626
bio,4,15,4.555296897888184
bio,4,16,3.389768600463867
bio,4,17,3.4767260551452637
bio,4,18,3.4373180866241455
bio,4,19,4.759066581726074
bio,4,20,3.446545362472534
bio,4,21,3.589310884475708
bio,4,22,4.571286678314209
bio,4,23,3.486682653427124
bio,4,24,3.7218663692474365
bio,4,25,3.247670888900757
bio,4,26,4.474639892578125
bio,4,27,3.3134899139404297
bio,4,28,4.654862880706787
bio,4,29,3.757370710372925
bio,4,30,3.2488327026367188
bio,4,31,4.715463161468506
bio,4,32,3.836376667022705
bio,4,33,4.969784736633301
bio,4,34,4.611225128173828
bio,4,35,3.7305896282196045
bio,4,36,3.294151782989502
bio,4,37,4.991503715515137
bio,4,38,3.370492696762085
bio,4,39,3.445655345916748
bio,4,40,4.0996294021606445
bio,4,41,4.3328447341918945
bio,4,42,4.1587677001953125
bio,4,43,3.3649652004241943
bio,4,44,4.722534656524658
bio,4,45,3.4928462505340576
bio,4,46,4.263297080993652
bio,4,47,4.3577880859375
bio,4,48,3.6194651126861572
bio,4,49,3.579084634780884
bio,4,50,3.3809168338775635
bio,4,51,4.175810813903809
bio,4,52,4.849232196807861
bio,4,53,3.915412187576294
bio,4,54,3.3463282585144043
bio,4,55,5.179698467254639
bio,4,56,3.374948263168335
bio,4,57,3.4437050819396973
bio,4,58,3.427358627319336
bio,4,59,4.634922504425049
bio,4,60,4.510197162628174
bio,4,61,3.7537734508514404
bio,4,62,3.655745506286621
bio,4,63,4.277263641357422
bio,4,64,3.3503410816192627
bio,4,65,3.5634567737579346
bio,4,66,4.713072776794434
bio,4,67,3.4427547454833984
bio,4,68,5.410239219665527
bio,4,69,4.119429588317871
bio,4,70,3.46289324760437
